name,ra,dec,scifi_source,object_type,lore,image_source
Epsilon Eridani,3h32m56.42s,-09d27m29.9s,(Star Trek -VOY),Star,"Near Klingon encounters (Epsilon IV, VIII).",
Pleiades,3h47m00.00s,24d07m00.0s,(Star Trek - TNG),Open Cluster,Crystalline lifeform.,
Keid (40 Eridani),4h15m17.64s,-07d38m40.4s,"(Star Trek - TOS,VOY)",Triple Star System,Vulcan and sister planet T'Khut.,
Hyadum I,4h19m47.53s,15d37m39.7s,(Star Trek -TNG),Star,Gamma Tauri IV: Ferengi raid.,
Aldebaran,4h34m58.61s,16d59m41.6s,"(Star Trek - TOS,TNG",Star,Aldebaran III: music academy.,
Rigel,5h14m32.30s,-08d12m06.0s,"(Star Trek -TOS, DS9, TNG, Mass Effect)",Star,Includes Rigel IV–XII planets in the Star Trek universe. It is also a star system containing several colonies and missions in Mass Effect galaxy map.,
Capella,5h16m41.30s,45d59m56.5s,"(Star Trek -TOS, TAS)",Double Star System,Capella IV: topaline.,
Mintaka,5h29m43.98s,-01d05m31.8s,(Star Trek - TNG),Star,Mintaka III: pre-industrial rational species.,
Crab Nebula (M1),5h34m30.00s,22d01m00.0s,(Star Trek - TNG),Planetary Nebula,Mentioned by Lieutennent Data in 2365,
Menkalinan,5h59m31.77s,44d56m50.8s,(Star Trek - TOS),Triple Star System,Camus II: body-switch.,
Canopus,6h23m57.09s,-52d41m44.6s,(Star Trek - TOS),Star,Starbase on Alpha Carinae V.,
Pollux,7h45m19.36s,28d01m34.7s,(Star Trek - TOS),Star,Pollux IV: home of ancient godlike aliens.,
Ashlesha,8h46m46.65s,06d25m08.1s,"(Star Trek - TOS, DS9)",Star,Epsilon Hydrae VII.,
Regulus,10h08m22.46s,11d58m01.9s,"(Star Trek - TOS, DS9, TNG)",Star,Regulus III: science academy.,
Wolf 359,10h56m28.99s,07d00m52.0s,(Star Trek - TNG),Star,Site of Borg battle.,
Merak,11h01m50.39s,56d22m56.4s,(Star Trek - TOS),Star,"Merak II: plague, zenite needed.",
Cor Caroli,12h56m01.84s,38d19m05.7s,(Star Trek - TNG),Variable Star,Cor Caroli V: Phyrox plague.,
Cauda Hydrae,13h18m55.25s,-23d10m17.1s,(Star Trek - TOS),Star,Gamma Hydrae IV: aging disease.,
Mizar,13h23m55.42s,54d55m31.5s,(Star Trek - TNG),Star,Mizar II: conquered multiple times.,
Izar,14h44m59.25s,27d04m27.0s,(Star Trek - TOS),Double Star System,Elba II: insane asylum.,
Antares,16h29m24.47s,-26d25m55.0s,"(Star Trek - TOS, DS9)",Star,Beta Antares IV: card game.,
Atria,16h48m39.87s,-69d01m39.5s,(Star Trek - TNG),Star,Briefly mentioned.,
Barnard’s Star,17h57m48.00s,04d41m36.0s,(Star Trek - VOY),Star,"In the Star Trek universe, the planet Matanda orbited Barnard's Star. In 2366, Starfleet Science Archaeology Division conducted an archaeological expedition to Matanda, led by Commander Anne Lansing aboard the USS Worsaae. It is also mentioned and depicted as a nearby star system during expansions and travel sequences",
Vega,18h36m56.00s,38d47m00.1s,"(Star Trek - TOS, Contact)",Star,"Delta Vega & Vega IX planets in the Star Trek universe. It is also the source of the alien radio signal received by Earth, pivotal for first contact in the 1997 movie ""Contact""",
Sheliak,18h50m04.79s,33d21m45.6s,(Star Trek - TAS),Star,Beta Lyrae system; Kzin home.,
Alsafi,19h32m20.59s,69d39m55.4s,(Star Trek - TOS),Star,Sigma Draconis VI: matriarchy.,
Altair,19h50m46.9s,08d52m00.6s,"(Star Trek - TOS, TNG, DS9)",Star,Altair III–VI: Federation worlds.,
Deneb,20h41m25.91s,45d16m49.2s,"(Star Trek - TOS, TNG, TAS)",Star,Deneb IV: Bandi homeworld.,
Helix Nebula (NGC7293),22h29m36.00s,-20d50m00.0s,(Star Trek - VOY),Nebula,Mentioned in Voyager novel.,
HD95424,11h00m44.0149358136s,-18d22m01.583430744s,(Dune),Star,"Home to the planet Rossak, a stop on the Zensunni wanderers' migration to Arrakis",
Iota Leporis,05h12m17.9105854648s,-11d52m08.763279736s,(Dune),Binary Star System,"Home to the planet Bela Tegeuse, a stop on the Zensunni wanderers' migration to Arrakis",
36 Ophiuchi,17h15m20.9839376s,-26d36m10.157115s,(Dune),Binary Star System,"Home of the planet Giedi Prime, home plaet of house Harkonnen.",
Sirius,06h45m09s,−16d42m58s,(Stargate SG-1),Star,Home star of the Goa’uld System Lords,
Psi Draconis,17h41m57.0s,72d09m10s,(Dune),Binary Star System,"Home of the planets Grumman, Gamont, and Niushe, which all appear in the extended lore of teh Dune universe.",
Sigma Draconis,19h32m21.5902098601s,69d39m40.235805206s,(Dune),Star,"Home to planets Corrin and Ishkai, both prominent locations in the early history of the Imperium. ",
Theta Eridani A,02h58m15.6752536s,-40d18m16.852418s,(Dune),Star,"Home system of the Bene Tleilax, a mysterious group that specialized in genetic alteration. ",
Epsilon Eridani b,03h32m55s,−09d27m29s,(Mass Effect),Exoplanet,"Colonized planet in lore, key to some storylines and missions.",
