name,ra,dec,scifi_source,object_type,lore
Mintaka,5h29m43.98s,-01d05m31.8s,(Star Trek - TNG),Star,Mintaka III: pre-industrial rational species.
Crab Nebula (M1),5h34m30.00s,22d01m00.0s,(Star Trek - TNG),Planetary Nebula,Mentioned by Lieutennent Data in 2365
Menkalinan,5h59m31.77s,44d56m50.8s,(Star Trek - TOS),Triple Star System,Camus II: body-switch.
Canopus,6h23m57.09s,-52d41m44.6s,(Star Trek - TOS),Star,Starbase on Alpha Carinae V.
Pollux,7h45m19.36s,28d01m34.7s,(Star Trek - TOS),Star,Pollux IV: home of ancient godlike aliens.
Ashlesha,8h46m46.65s,06d25m08.1s,"(Star Trek - TOS, DS9)",Star,Epsilon Hydrae VII.
Regulus,10h08m22.46s,11d58m01.9s,"(Star Trek - TOS, DS9, TNG)",Star,Regulus III: science academy.
Wolf 359,10h56m28.99s,07d00m52.0s,(Star Trek - TNG),Star,Site of Borg battle.
Merak,11h01m50.39s,56d22m56.4s,(Star Trek - TOS),Star,"Merak II: plague, zenite needed."
Cor Caroli,12h56m01.84s,38d19m05.7s,(Star Trek - TNG),Variable Star,Cor Caroli V: Phyrox plague.
Cauda Hydrae,13h18m55.25s,-23d10m17.1s,(Star Trek - TOS),Star,Gamma Hydrae IV: aging disease.
Mizar,13h23m55.42s,54d55m31.5s,(Star Trek - TNG),Star,Mizar II: conquered multiple times.
Izar,14h44m59.25s,27d04m27.0s,(Star Trek - TOS),Double Star System,Elba II: insane asylum.
Antares,16h29m24.47s,-26d25m55.0s,"(Star Trek - TOS, DS9)",Star,Beta Antares IV: card game.
Atria,16h48m39.87s,-69d01m39.5s,(Star Trek - TNG),Star,Briefly mentioned.
Barnard’s,17h57m48.00s,04d41m36.0s,(Star Trek - VOY),Star,"In the Star Trek universe, the planet Matanda orbited Barnard's Star. In 2366, Starfleet Science Archaeology Division conducted an archaeological expedition to Matanda, led by Commander Anne Lansing aboard the USS Worsaae. It is also mentioned and depicted as a nearby star system during expansions and travel sequences"
Vega,18h36m56.00s,38d47m00.1s,"(Star Trek - TOS, Contact, Babylon 5)",Star,"Delta Vega & Vega IX planets in the Star Trek universe. It is also the source of the alien radio signal received by Earth, pivotal for first contact in the 1997 movie ""Contact"". Also mentioned as an Earth colony in Babylon 5"
Sheliak,18h50m04.79s,33d21m45.6s,(Star Trek - TAS),Star,Beta Lyrae system; Kzin home.
Alsafi,19h32m20.59s,69d39m55.4s,(Star Trek - TOS),Star,Sigma Draconis VI: matriarchy.
Altair,19h50m46.9s,08d52m00.6s,"(Star Trek - TOS, TNG, DS9)",Star,Altair III–VI: Federation worlds.
Deneb,20h41m25.91s,45d16m49.2s,"(Star Trek - TOS, TNG, TAS)",Star,Deneb IV: Bandi homeworld.
Helix Nebula (NGC7293),22h29m36.00s,-20d50m00.0s,(Star Trek - VOY),Nebula,Mentioned in Voyager novel.
HD95424,11h00m44.0149358136s,-18d22m01.583430744s,(Dune),Star,"Home to the planet Rossak, a stop on the Zensunni wanderers' migration to Arrakis"
Iota Leporis,05h12m17.9105854648s,-11d52m08.763279736s,(Dune),Binary Star System,"Home to the planet Bela Tegeuse, a stop on the Zensunni wanderers' migration to Arrakis"
36 Ophiuchi,17h15m20.9839376s,-26d36m10.157115s,(Dune),Binary Star System,"Home of the planet Giedi Prime, home plaet of house Harkonnen."
Sirius,06h45m09s,−16d42m58s,(Stargate SG-1),Star,Home star of the Goa’uld System Lords
Psi Draconis,17h41m57.0s,72d09m10s,(Dune),Binary Star System,"Home of the planets Grumman, Gamont, and Niushe, which all appear in the extended lore of teh Dune universe."
Sigma Draconis,19h32m21.5902098601s,69d39m40.235805206s,(Dune),Star,"Home to planets Corrin and Ishkai, both prominent locations in the early history of the Imperium. "
Theta Eridani A,02h58m15.6752536s,-40d18m16.852418s,"(Dune, Project Hail Mary)",Star,"Home system of the Bene Tleilax, a mysterious group that specialized in genetic alteration.  This is also the home star for Rocky from Project Hail Mary book by Andy Weir. "
Epsilon Eridani,03h32m55s,−09d27m29s,"(Halo, Star Trek -VOY)",Star,"Home to several colonized planets in Halo, most notably Reach. One of the most important systems in the UNSC. In Star Trek, this system is the near several Klingon encounters (Epsilon IV, VIII)."
Epsilon Eridani b,03h32m55s,−09d27m29s,(Mass Effect),Exoplanet,"Colonized planet in lore, key to some storylines and missions."
Theta Leonis,11h14m14.4056705348s,15d25m46.455911128s,(Dune),Star,"Home of the planet Hagal, the source of many crown jewels in the Imperium "
61 Cygni,21h06m53.95s,38d44m57.9s,(Foundation),Binary Star System,This system was one of several theorized to be the origin system of humanity in the Foundation series.
Procyon,07h39m18.11950s,05d13m29.9552s,(Halo),Binary Star System,"Home of the outer colony Arcadia, which was indaded by the Covenant in 2531 and 2549"
Alpha Aurigae,05h16m41.35871s,45d59m52.7693s,(Halo),Binary Star System,"A colony of the UEG in the Halo series, its status after the Human-Covenant war is unknown"
111 Tauri,05h24m25.4632701888s,17d23m00.726415944s,(Halo),Star,Home to the colony world Victoria in the Halo series
18 Scorpii,16h15m37.2702755653s,-08d22m09.982125430s,(Halo),Star,"Home of the UEG colony Falaknuma, which hosted a large amount of Covenant war refugees in 2535"
23 Librae,15h13m28.6669233518s,-25d18m33.653388418s,(Halo),Star,"Home of the UEG colony Madrigal, a prominent location in the book Halo: the Cole Protocol"
26 Draconis,17h34m59.6247424155s,61d52m28.241837953s,(Halo),Binary Star System,"Controlled by the UNSC and site of the Callisto incident in the 2490s, which marked the start of the insurrection"
51 Pegasi,22h57m27.9804852576s,20d46m07.797040104s,(Halo),Star,"Home to several planets controlled by the Covenant, and the site of a spartan-III attack in 2545"
Beta Hydri,00h25m45.07036s,-77d15m15.2860s,(Halo),Star,"Stated to be an inner colony of the UEG, with at least 6 inhabited planets "
Chi Ceti,01h49m35.1027660619s,-10d41m11.070999501s,(Halo),Star,"An outer colony of the UEG, this system has four documented planets, and is the location where the iconic Mjolnir power armor is manufactured."
Epsilon Indi,22h03m21.6536261624s,-56d47m09.522795714s,(Halo),Star,"Home to the outer colony Harvest and location where humanity first encountered the Covenant. In lore, this system is stated to be much further from Earth than in real life."
Gamma Pavonis,21h26m26.6049826473s,-65d21m58.313057521s,(Halo),Star,"Site of the Battle of Gamma Pavonis VII in 2550, where Midranda Keys defeated a Covanent destroyer and subsequently was awarded the silver star"
Groombridge 1830,11h52m58.7673387755s,37d43m07.254113125s,(Halo),Star,"Controlled by the UEG, and site of an unsuccesful Covenant invasion in 2530. Its current status is unknown."
Groombridge 34,00h18m22.8849799680s,44d01m22.637951588s,(Halo),Binary Star System,Site where Spartan-II Kurt 051 was kidnapped to assist in the Spartan-III program.
Lacaille 9352 ,23h05m52.0357857091s,-35d51m11.055185039s,(Halo),Star,"An innter colony of the UEG, this system hosted a derelict cruiser containing a modified set of Mjolnir power armor of unknown origin."
Lambda Aurigae,05h19m08.4754499121s,40d05m56.585080940s,(Halo),Star,"Home to the outer colony Roost, known for its tropical beaches and fishing industry."
Lambda Serpentis,15h46m26.614212163s,07d21m11.047378824s,(Halo),Star,"Home to the colony Jericho VII, which was glassed by the Covenant in 2535. This system was the original home of Spartan Locke, the main character of Halo 5 Guardians."
LP 656-38,05h01m57.4261317472s,-06d56m46.376281497s,(Halo),Star,"In Halo, this system was originally inhabited by the Forerunners, and subsequently devastated by a Flood infestation bringing the population from 1.5 Billion to less than 9000."
Gliese 65,01h39m01.452936s,-17d57m02.04516s,(Halo),Star,"In Halo, this sytem was home to the inner UEG colony Luyfen. One of the original spartan IIs (Caleb-095) was born here."
Psi Serpentis,15h44m01.8185683752s,02d30m54.600593940s,(Halo),Star,"In Halo, this sytstem was the site of the battle of Psi Serpentis in 2549. In this battle, the UNSC succesfully destroyed a large Covenant armada by temprarilly igniting a gas giant in the system."
Theta Ursae Majoris ,09h32m51.430933s,51d40m38.33331050s,(Halo),Star,"In Halo, this system was an outer colony of the UEG, and was the site of several battles during the Insurrection in the early 2500s"
XI Boötis A,14h51m23.3884659s,19d06m01.619801s,(Halo),Star,"In Halo, this system was an outer colony of the UEG. In 2526, Admiral Cole succesfully defended this system against a Covenant invasion with heavy casualties."
Zeta Doradus,05h05m30.655674s,-57d28m21.7368988s,(Halo),Star,"In Halo, this system is home to the Forerunner shield world Onyx, which was the site of a prolonged battle between the UNSC, sentinal defense forces, and Covenant seperatists in 2552."
Algol,03h08m10.1324535s,40d57m20.328013s,"(The Hitchhiker's Guide to the Galaxy, Star Trek - TNG, That Share of Glory by C.M. Kornbluth)",Binary Star System,"Mentioned in Star Trek TNG S1E6 and in the short story ""That Share of Glory"" by C.M. Kornbluth orignally published in 1952 in which there is a language called Algolian"
Alphard,09h27m35.24270s,-08d39m30.9583s,The Blind Pilot by Charles Henneberg,Star,"Referred to as an ocean planet in Charles Henneberg's short story ""The Blind Pilot"" first published in 1959"
Betelgeuse,05h55m10.30536s,07d24m25.4304s,"(The Hitchhiker's Guide to the Galaxy, Babylon 5)",Star,"In Hitchhiker's Guide to the Galaxy, the home system of Ford Prefect and Zaphod Beeblebrox."
